                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.00019,                 0.9205,                      1,                0.09691,              0.0019563,              0.0019563,              0.0019563
                     67,                0.00022,                  0.921,                      1,                 0.0969,              0.0018325,              0.0018325,              0.0018325
                     68,                0.00023,                 0.9225,                      1,                0.09686,              0.0017087,              0.0017087,              0.0017087
                     69,                0.00014,                 0.9235,                      1,                0.09684,               0.001585,               0.001585,               0.001585
                     70,                  9e-05,                  0.924,                      1,                0.09682,              0.0014612,              0.0014612,              0.0014612
                     71,                0.00014,                 0.9235,                      1,                0.09681,              0.0013375,              0.0013375,              0.0013375
                     72,                  9e-05,                  0.924,                      1,                 0.0968,              0.0012138,              0.0012138,              0.0012138
                     73,                0.00012,                 0.9235,                      1,                0.09679,                0.00109,                0.00109,                0.00109
                     74,                0.00014,                 0.9235,                      1,                0.09679,             0.00096625,             0.00096625,             0.00096625
                     75,                0.00013,                 0.9225,                      1,                0.09678,              0.0008425,              0.0008425,              0.0008425
                     76,                  7e-05,                 0.9225,                      1,                0.09678,             0.00071875,             0.00071875,             0.00071875
                     77,                  7e-05,                  0.922,                      1,                0.09678,               0.000595,               0.000595,               0.000595
                     78,                  9e-05,                 0.9225,                      1,                0.09678,             0.00047125,             0.00047125,             0.00047125
                     79,                0.00012,                 0.9225,                      1,                0.09679,              0.0003475,              0.0003475,              0.0003475
