                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2142,                 1.1727,                 1.3925,                0.80958,                0.72316,                 0.8072,                0.45438,                 1.4796,                 1.1279,                 1.5373,              0.0059163,              0.0059163,              0.0059163
                     35,                 1.2196,                 1.1758,                 1.3988,                0.75388,                0.76055,                0.81056,                0.43332,                 1.5694,                 1.1325,                 1.6125,              0.0057925,              0.0057925,              0.0057925
                     36,                 1.2138,                  1.154,                 1.3928,                 0.7711,                0.75727,                0.81267,                0.43089,                 1.5718,                 1.1546,                 1.6024,              0.0056688,              0.0056688,              0.0056688
                     37,                 1.1925,                 1.1516,                 1.3796,                0.76544,                0.75346,                0.79715,                0.42924,                 1.5573,                 1.1485,                 1.6176,               0.005545,               0.005545,               0.005545
                     38,                 1.1864,                 1.1335,                 1.3776,                0.78427,                0.74556,                0.81048,                0.43784,                 1.5524,                 1.1359,                 1.6053,              0.0054212,              0.0054212,              0.0054212
                     39,                 1.1742,                 1.1087,                 1.3647,                 0.8282,                0.75287,                0.82534,                0.43093,                 1.5774,                 1.1072,                 1.5995,              0.0052975,              0.0052975,              0.0052975
                     40,                  1.184,                 1.1124,                 1.3717,                0.80465,                0.75725,                0.83105,                0.43713,                 1.5652,                  1.099,                 1.6082,              0.0051737,              0.0051737,              0.0051737
                     41,                 1.1824,                  1.105,                  1.366,                0.77762,                0.75629,                0.82567,                0.45757,                 1.4835,                 1.0951,                 1.5449,                0.00505,                0.00505,                0.00505
                     42,                 1.1578,                 1.0896,                 1.3473,                0.82021,                0.76348,                 0.8279,                0.45927,                 1.4992,                 1.0412,                 1.5491,              0.0049263,              0.0049263,              0.0049263
                     43,                  1.151,                 1.1015,                 1.3561,                0.80005,                0.78415,                0.84413,                0.46638,                 1.5024,                 1.0655,                 1.5454,              0.0048025,              0.0048025,              0.0048025
                     44,                  1.146,                  1.071,                 1.3441,                0.80591,                0.78717,                0.85492,                0.48275,                 1.4745,                 1.0166,                 1.5361,              0.0046788,              0.0046788,              0.0046788
                     45,                 1.1225,                  1.043,                  1.315,                0.79978,                0.79572,                0.85085,                0.46811,                 1.5217,                 1.0251,                 1.5635,               0.004555,               0.004555,               0.004555
                     46,                 1.1265,                 1.0336,                 1.3312,                0.83186,                0.79269,                0.85613,                 0.4674,                 1.5203,                 1.0163,                 1.5631,              0.0044313,              0.0044313,              0.0044313
                     47,                 1.1347,                 1.0266,                 1.3277,                0.81322,                0.80474,                0.85559,                 0.4911,                 1.4451,                0.98861,                 1.5132,              0.0043075,              0.0043075,              0.0043075
                     48,                 1.1129,                 1.0174,                 1.3167,                0.84312,                0.80318,                0.86846,                0.48083,                 1.4926,                0.98813,                 1.5516,              0.0041837,              0.0041837,              0.0041837
                     49,                 1.1225,                 1.0032,                 1.3174,                0.81736,                 0.8116,                0.85777,                0.48925,                 1.4608,                0.99932,                 1.5219,                0.00406,                0.00406,                0.00406
                     50,                 1.0946,                0.99314,                  1.303,                0.83779,                0.79481,                0.86646,                0.49875,                 1.4427,                0.98913,                 1.5207,              0.0039362,              0.0039362,              0.0039362
                     51,                 1.1007,                0.99827,                 1.3056,                0.84147,                0.78123,                0.86241,                0.49659,                 1.4474,                 0.9816,                 1.5049,              0.0038125,              0.0038125,              0.0038125
                     52,                 1.0864,                0.97847,                 1.3073,                0.80115,                0.82686,                0.86028,                0.49429,                 1.4599,                0.95555,                 1.5221,              0.0036888,              0.0036888,              0.0036888
                     53,                 1.0777,                0.95952,                 1.2814,                0.81116,                0.83435,                0.86395,                0.49737,                 1.4417,                0.94841,                 1.5026,               0.003565,               0.003565,               0.003565
                     54,                 1.0723,                0.96021,                 1.2916,                0.84896,                0.79089,                 0.8609,                0.49584,                 1.4733,                0.95593,                 1.5495,              0.0034413,              0.0034413,              0.0034413
                     55,                 1.0601,                0.93902,                 1.2779,                0.82291,                0.80318,                0.86162,                0.49595,                 1.4498,                0.94929,                 1.5164,              0.0033175,              0.0033175,              0.0033175
                     56,                  1.049,                0.93065,                 1.2746,                0.86065,                0.79882,                0.87492,                0.49875,                 1.4633,                0.92306,                 1.5241,              0.0031938,              0.0031938,              0.0031938
                     57,                  1.055,                0.93261,                 1.2817,                0.85538,                0.80401,                0.86974,                0.49271,                 1.4792,                0.94737,                 1.5316,                0.00307,                0.00307,                0.00307
                     58,                 1.0443,                0.93023,                 1.2706,                0.81852,                0.81769,                0.86598,                0.51443,                 1.3947,                0.93141,                 1.4734,              0.0029462,              0.0029462,              0.0029462
                     59,                 1.0323,                0.91363,                 1.2602,                0.82044,                0.83163,                0.87474,                0.50705,                 1.4398,                0.92037,                 1.5012,              0.0028225,              0.0028225,              0.0028225
                     60,                 1.0243,                0.88842,                 1.2585,                 0.8422,                 0.8235,                0.88227,                0.51627,                 1.4217,                0.90559,                 1.4873,              0.0026987,              0.0026987,              0.0026987
                     61,                 1.0264,                0.87872,                 1.2568,                0.83868,                0.83466,                0.87653,                0.52183,                 1.4095,                 0.9031,                 1.4757,               0.002575,               0.002575,               0.002575
                     62,                 1.0274,                0.89689,                 1.2528,                0.83121,                0.83121,                0.88352,                0.51821,                 1.3889,                0.91099,                 1.4661,              0.0024513,              0.0024513,              0.0024513
